user_having_skills	uid	title	name
3	2	Sneakerdot	Angular.js
8	2	Sneakerdot	Javascript
6	2	Sneakerdot	Programming
7	11	Brace Leather	Product Design
3	11	Brace Leather	Programming
2	11	Brace Leather	Animation
3	11	Brace Leather	Graphic Design
3	14	Kien	Graphic Design
1	54	Whire.me	Branding
1	54	Whire.me	Product Design
1	54	Whire.me	Graphic Design
2	3	Robotic Extrusion	Venture Capital
2	3	Robotic Extrusion	Robotics
1	66	WoodRover	Product Design
1	84	Build Focus	SEO
1	84	Build Focus	Product Design
1	84	Build Focus	Graphic Design
3	87	MySeer	Business Development
2	87	MySeer	Venture Capital
2	91	Shelter	Advertising Strategy
4	91	Shelter	Marketing Strategy
1	91	Shelter	Product Design
1	108	Blckbox	Android
2	167	Recast.AI	Javascript
2	167	Recast.AI	Programming
5	176	WIZPAY	Programming
1	349	GreatPositive	Product Design
1	358	Scaff & Co.	SEO
1	358	Scaff & Co.	Fashion Design
1	433	Foodie Machine Learning	Machine Learning
2	471	Refer Me Please	Programming
1	477	SmartMoon	Programming
3	517	Erashome	Programming
2	103	MeltingDoc	Programming
4	527	Nimslo	Product Design
1	834	SoundGrabber	Javascript
2	852	Petite Question	Artificial Intelligence
2	862	Swapp'on	Programming
3	981	English Perfected	Javascript
3	981	English Perfected	Programming
1	1002	Dropcicle | iOS app	Programming
3	1132	Maypop Agency	GitHub
2	1132	Maypop Agency	Javascript
3	1132	Maypop Agency	Programming
1	1188	Capital For Business	Fundraising
1	1235	Spiris	Entrepreneurship
1	1235	Spiris	Programming
1	1301	CitySafe	Product Design
9	1323	no name yet	Programming
15	1345	greenastic	Javascript
10	1345	greenastic	Programming
4	1531	Prodontis	Product Design
1	1531	Prodontis	Programming
3	1531	Prodontis	Adobe Photoshop
3	1531	Prodontis	Graphic Design
1	1175	The Refiners	Startups
1	1535	Fit-Play	Product Design
1	1535	Fit-Play	Programming
2	1535	Fit-Play	Graphic Design
1	1537	Lalilo	Business Development
1	1537	Lalilo	Data Engineering
1	1537	Lalilo	Javascript
1	1545	Appaloosa	Ruby on Rails
1	1553	Addoo	Product Design
1	1563	Resolvd	Programming
1	1570	RoboFootball	Programming
2	1570	RoboFootball	Business
1	1582	Swaggle	SEO
1	1582	Swaggle	Artificial Intelligence
2	1582	Swaggle	Programming
1	1606	MicroShiner	Venture Capital
1	1606	MicroShiner	Photography
1	1626	Eat Tropics	Entrepreneurship
1	1620	Mintfinity	Product Design
1	1659	StreetSpeak	Programming
1	1661	PULSE	Product Design
1	1201	PrendreL'aire	Product Design
1	1731	TickTheBucket	Product Design
1	1754	Living Startups	Fundraising
1	1774	My Renovation	Product Design
1	1907	REVL	Fundraising
1	3208	Poputi	Programming
2	3290	Dock Voyager	Entrepreneurship
6	3610	Enoron	Javascript
5	3610	Enoron	Programming
3	3653	roamer	Product Design
3	3653	roamer	Programming
1	905	Travel Planning	Programming
3	3806	Memory Days	Javascript
3	3806	Memory Days	Programming
1	3806	Memory Days	Graphic Design
1	571	AllSessions Entreprises	Programming
1	4099	TALENT MAKING TALENT	Programming
1	4206	Boty	Product Design
1	14	The Big Idea	Javascript
12	1	Wittycircle	Angular.js
1	1	Wittycircle	Big Data
19	1	Wittycircle	CSS
1	1	Wittycircle	Data Science
22	1	Wittycircle	HTML
19	1	Wittycircle	Javascript
1	1	Wittycircle	Machine Learning
5	1	Wittycircle	Python
2	1	Wittycircle	Content Writing
3	5307	UCARE	Javascript
7	1	Tapdo	Computer Engineering
1	1	Tapdo	Digital Electronics
5	1	Tapdo	Electrical Engineering
