number	skill_id	name	category
1208	107	Entrepreneurship	finance & management
660	798	Programming	it web & mobile
613	341	Communication	admin support
496	306	Product Design	manufacture & engineering
482	592	HTML	it web & mobile
465	81	Analytics	finance & management
441	492	CSS	it web & mobile
428	1142	Web Development	design & multimedia
383	619	Javascript	it web & mobile
354	1010	Adobe Photoshop	design & multimedia
320	862	Social Networking Development	it web & mobile
277	1072	Graphic Design	design & multimedia
268	168	Venture Capital	finance & management
259	280	Lean	manufacture & engineering
247	569	GitHub	it web & mobile
244	59	SEO	sales & marketing
239	777	Php	it web & mobile
230	1059	E-learning	design & multimedia
217	241	Computer Engineering	manufacture & engineering
188	145	Project Management	finance & management
182	162	Strategy & Business Development	finance & management
178	631	jQuery	it web & mobile
167	498	Data Engineering	it web & mobile
158	19	Digital Marketing	sales & marketing
150	1133	Video Production	design & multimedia
145	42	Marketing	sales & marketing
145	682	Mobile Programming	it web & mobile
141	1277	Unix/Linux System Administrator	it web & mobile
138	91	Business Development	finance & management
137	43	Marketing Strategy	sales & marketing
134	1074	Illustration	design & multimedia
131	397	Angular.js	it web & mobile
123	613	iOS	it web & mobile
110	251	Electrical Engineering	manufacture & engineering
109	92	Business Management	finance & management
99	1044	Computer Graphics	design & multimedia
99	99	Corporate Finance	finance & management
88	797	Product Management	it web & mobile
88	314	Robotics	manufacture & engineering
87	1061	Fashion Design	design & multimedia
78	1015	Animation	design & multimedia
76	62	Social Media Marketing	sales & marketing
74	1129	UX/UI Design	design & multimedia
73	109	Financial Analysis	finance & management
72	100	Corporate Strategy	finance & management
65	159	Startups	finance & management
65	800	Python	it web & mobile
64	94	Business Plans	finance & management
61	1027	Audio Production	design & multimedia
59	89	Business Analysis	finance & management
58	1183	English	writing and languages
57	1085	Logo Design	design & multimedia
56	98	Consulting	finance & management
55	713	Node.js	it web & mobile
54	56	Sales	sales & marketing
50	132	Microsoft Excel	finance & management
50	1194	French	writing and languages
49	449	C++	it web & mobile
48	24	Email Marketing	sales & marketing
44	616	Java	it web & mobile
43	129	Lean Startup	finance & management
43	1127	User Experience Design	design & multimedia
42	146	Project Planning	finance & management
41	11	Branding	sales & marketing
40	34	Growth Hacking	sales & marketing
40	161	Strategic Planning	finance & management
37	496	Data Analytics	it web & mobile
37	535	Ecommerce	it web & mobile
37	1141	Web Design	design & multimedia
37	41	Market Research	sales & marketing
36	26	Facebook Marketing	sales & marketing
34	1005	Adobe Illustrator	design & multimedia
34	5	Advertising Strategy	sales & marketing
33	20	Direct Marketing	sales & marketing
33	113	Financial Management	finance & management
33	108	Event Management	finance & management
32	358	Microsoft Office	admin support
31	829	Ruby on Rails	it web & mobile
31	136	Operations Management	finance & management
31	1100	Photography	design & multimedia
31	4	Advertising	sales & marketing
29	655	Machine Learning	it web & mobile
28	73	Accounting	finance & management
28	50	Other - Sales and Marketing	sales & marketing
28	64	Social Networking	sales & marketing
28	116	Fundraising	finance & management
28	29	Google adwords	sales & marketing
28	1252	Spanish	writing and languages
27	1088	Microsoft PowerPoint	design & multimedia
27	144	Project Finance	finance & management
26	861	Social Network & Community Development	it web & mobile
26	74	Accounting & Control	finance & management
26	112	Financial Forecasting	finance & management
26	2	Account management	sales & marketing
26	1007	Adobe InDesign	design & multimedia
26	1160	Business	writing and languages
25	18	CRM	sales & marketing
24	54	Public Relations	sales & marketing
24	135	Negotiation	finance & management
23	873	SQL	it web & mobile
23	105	Economics	finance & management
23	180	Contract Law	legal
23	1128	User Interface Design	design & multimedia
23	6	Affiliate Marketing	sales & marketing
22	30	Google analytics	sales & marketing
22	88	Budgeting & Forecasting	finance & management
22	287	Mathematics	manufacture & engineering
22	49	Online Advertising	sales & marketing
22	173	Business Law	legal
22	114	Financial Reporting	finance & management
22	432	Big Data	it web & mobile
22	507	Data Science	it web & mobile
21	1221	Microsoft Word	writing and languages
21	1094	Music Composition	design & multimedia
21	290	Mechanical Engineering	manufacture & engineering
21	811	React.js	it web & mobile
21	119	Human Resources	finance & management
20	307	Project Scheduling	manufacture & engineering
20	36	Internet Marketing	sales & marketing
20	163	Supply Chain Management	finance & management
20	17	Corporate Brand Identity	sales & marketing
20	55	Public Speaking	sales & marketing
19	227	Biotechnology	manufacture & engineering
18	7	Analytics	sales & marketing
18	1045	Concept Design	design & multimedia
18	160	Statistics	finance & management
18	115	Financial Statements	finance & management
18	350	Event Planning	admin support
16	86	Auditing	finance & management
16	1093	Music	design & multimedia
16	111	Financial Engineering	finance & management
16	395	Android	it web & mobile
16	865	Software Development	it web & mobile
16	467	Cloud Computing	it web & mobile
16	796	Product Lifecycle Management	it web & mobile
16	695	MySQL Programming	it web & mobile
16	828	Ruby	it web & mobile
15	123	Investment Banking	finance & management
15	1132	Video Editing	design & multimedia
15	58	SEM	sales & marketing
15	686	MongoDB	it web & mobile
15	101	Cost Analysis	finance & management
15	364	Research	admin support
14	183	Corporate Law	legal
14	1195	German	writing and languages
14	154	Risk Management	finance & management
14	568	Git	it web & mobile
14	961	WordPress	it web & mobile
14	191	International Law	legal
14	564	Game Development	it web & mobile
13	69	Web Analytics	sales & marketing
